NOME DA EMPRESA;NÚMERO DA LINHA;ITINERÁRIO;ARQUIVO
Araguatur Viagens e Turismo EIRELI ME;1959.162-00;Goiânia a São Miguel do Araguaia (via GO-070 e GO-164);Linha nº 1959.162-00 Goiânia a São Miguel do Araguaia (via GO-070 e GO-164)
Auto Viação Goianésia Ltda.;01.044-00;Goiânia a Adelândia;Linha nº 01.044-00 – Goiânia a Adelândia
Auto Viação Goianésia Ltda.;01.045-00;Goiânia a Americano do Brasil;Linha nº 01.045-00 – Goiânia a Americano do Brasil
Auto Viação Goianésia Ltda.;01.046-00;Goiânia a Aruanã;Linha nº 01.046-00 – Goiânia a Aruanã
Auto Viação Goianésia Ltda.;01.047-00;Goiânia a Britânia (via GO-060 e GO-326);Linha nº 01.047-00 – Goiânia a Britânia (via GO-060 e GO-326)
Auto Viação Goianésia Ltda.;01.048-00;Goiânia a Jussara;Linha nº 01.048-00 – Goiânia a Jussara
Auto Viação Goianésia Ltda.;01.049-00;Goiânia a Novo Brasil;Linha nº 01.049-00 – Goiânia a Novo Brasil
Auto Viação Goianésia Ltda.;01.050-00;Goiânia a Anicuns;Linha nº 01.050-00 – Goiânia a Anicuns
Auto Viação Goianésia Ltda.;01.051-00;Goiânia a Claudinápolis;Linha nº 01.051-00 – Goiânia a Claudinápolis
Auto Viação Goianésia Ltda.;01.052-00;Goiânia a Santa Bárbara de Goiás;Linha nº 01.052-00 – Goiânia a Santa Bárbara de Goiás
Auto Viação Goianésia Ltda.;01.053-00;Goiânia a Barro Alto;Linha nº 01.053-00 – Goiânia a Barro Alto
Auto Viação Goianésia Ltda.;01.054-00;Goiânia a Goianésia (via Anápolis);Linha nº 01.054-00 – Goiânia a Goianésia (via Anápolis)
Auto Viação Goianésia Ltda.;01.056-00;Goiânia a Córrego do Ouro;Linha nº 01.056-00 – Goiânia a Córrego do Ouro
Auto Viação Goianésia Ltda.;01.057-00;Goiânia a Goianésia (via Nerópolis);Linha nº 01.057-00 – Goiânia a Goianésia (via Nerópolis)
Auto Viação Goianésia Ltda.;01.058-00;Goiânia a Morro Agudo de Goiás (via Itapuranga);Linha nº 01.058-00 – Goiânia a Morro Agudo de Goiás (via Itapuranga)
Auto Viação Goianésia Ltda.;01.059-00;Goiânia a Itapuranga;Linha nº 01.059-00 – Goiânia a Itapuranga
Auto Viação Goianésia Ltda.;01.060-00;Goiânia a Pirenópolis;Linha nº 01.060-00 – Goiânia a Pirenópolis
Auto Viação Goianésia Ltda.;01.1062-00;Araçu a Inhumas;Linha nº 01.1062-00 – Araçu a Inhumas
Auto Viação Goianésia Ltda.;01.1063-00;Caturaí a Inhumas;Linha nº 01.1063-00 – Caturaí a Inhumas
Auto Viação Goianésia Ltda.;01.1064-00;Ceres a Cafelândia;Linha nº 01.1064-00 -Ceres a Cafelândia
Auto Viação Goianésia Ltda.;01.1065-00;Ceres a Crixás;Linha nº 01.1065-00 -Ceres a Crixás
Auto Viação Goianésia Ltda.;01.1067-00;Goianésia a Uruaçu (via Santa Rita do Novo Destino);Linha nº 01.1067-00  – Goianésia a Uruaçu (via Santa Rita do Novo Destino)
Auto Viação Goianésia Ltda.;01.1068-00;Goianésia a Vila Propício;Linha nº 01.1068-00  – Goianésia a Vila Propício
Auto Viação Goianésia Ltda.;01.1069-00;Trindade a Avelinópolis;Linha nº 01.1069-00  – Trindade a Avelinópolis
Auto Viação Goianésia Ltda.;01.1070-00;Jussara a Santa Fé de Goiás;Linha nº 01.1070-00  – Jussara a Santa Fé de Goiás
Auto Viação Goianésia Ltda.;01.1071-00;Goianésia a Barro Alto;Linha nº 01.1071-00  – Goianésia a Barro Alto
Auto Viação Goianésia Ltda.;01.1072-00;Goianésia a Jaraguá;Linha nº 01.1072-00 – Goianésia a Jaraguá
Auto Viação Goianésia Ltda.;01.1073-00;Goianésia a Mineradora Anglo American;Linha nº 01.1073-00 – Goianésia a Mineradora Anglo American
Alves Rocha & Silva Ltda. / Davi Turismo;1332.1239-00;Formosa Planaltina;Linha 1332.1239-00 Formosa Planaltina
COOPTRO – Cooperativa de Transportes e Turismo de Cidade Ocidental;6229.1252-00;Novo Gama Cidade Ocidental (via BR-040, Valparaiso II e Lago Azul);Linha 6229.1252-00 Novo Gama Cidade Ocidental (via BR-040, Valparaiso II e Lago Azul)
COOPTRO – Cooperativa de Transportes e Turismo de Cidade Ocidental;6229.1251-00;Luziânia Novo Gama (via BR-040 e Jardim Ingá);Linha 6229.1251-00 Luziânia Novo Gama (via BR-040 e Jardim Ingá)
COOPTRO – Cooperativa de Transportes e Turismo de Cidade Ocidental;6229.1233-00;Luziânia Novo Gama (via Pq. Alvorada, BR-040 e DF-290);Linha 6229.1233-00 Luziânia Novo Gama (via Pq. Alvorada, BR-040 e DF-290)
COOPTRO – Cooperativa de Transportes e Turismo de Cidade Ocidental;6229.1234-00;Valparaíso de Goiás II Cidade Ocidental (via BR-040, GO521 e ABC);Linha 6229.1234-00 Valparaíso de Goiás II Cidade Ocidental (via BR-040, GO521 e ABC)
